cod_ciclo,cod_modulo
12142101,437
12142101,438
12142101,439
12142101,440
12142101,441
12142101,442
12142101,443
12142101,446
12142001,221
12142001,222
12142001,223
12142001,224
12142001,225
12142001,226
12142001,227
12142001,228
12142201,1226
12142201,1227
12142201,1228
12142201,1229
12142201,1230
12142201,1231
12142201,1232
12142201,1233
12142201,1234
12142201,1235
12242101,645
12242101,647
12242101,648
12242101,649
12242101,650
12242101,651
12242101,652
12242101,653
12242101,654
12242102,645
12242102,647
12242102,648
12242102,649
12242102,650
12242102,651
12242102,652
12242102,653
12242102,654
12242001,369
12242001,370
12242001,371
12242001,372
12242001,373
12242001,374
12242001,375
12242001,376
12242001,377
12242001,378
12242002,373
12242002,483
12242002,484
12242002,485
12242002,486
12242002,487
12242002,488
12242002,489
12242002,490
12242002,491
12242003,612
12242003,613
12242003,614
12242003,615
12342001,3015
12342001,3016
12342001,3029
12342001,3030
12342002,3016
12342002,3029
12342002,3030
12342002,3031
12342101,3001
12342101,3002
12342101,3003
12342101,3004
12342101,3005
12342101,3006
12342201,3001
12342201,3002
12342201,3005
12342201,3006
12342201,3069
12342201,3070
